beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43703,0.490601,2.07315e-08,0.000598526,2.4628e-11,-0.0965857,0.000111746
0.43704,0.490624,2.07533e-08,0.000598709,2.46828e-11,-0.0966441,0.000112141
0.43705,0.490646,2.07753e-08,0.000598893,2.47378e-11,-0.0967026,0.000112537
0.43706,0.490669,2.07973e-08,0.000599077,2.47931e-11,-0.0967612,0.000112934
0.43707,0.490691,2.08193e-08,0.000599261,2.48485e-11,-0.0968198,0.000113333
0.43708,0.490714,2.08415e-08,0.000599445,2.49042e-11,-0.0968785,0.000113733
0.43709,0.490736,2.08637e-08,0.00059963,2.49602e-11,-0.0969372,0.000114135
0.4371,0.490759,2.0886e-08,0.000599815,2.50164e-11,-0.096996,0.000114538
0.43711,0.490781,2.09083e-08,0.000599999,2.50728e-11,-0.0970548,0.000114942
0.43712,0.490804,2.09307e-08,0.000600184,2.51294e-11,-0.0971137,0.000115348
0.43713,0.490826,2.09532e-08,0.000600369,2.51863e-11,-0.0971726,0.000115756
0.43714,0.490849,2.09758e-08,0.000600554,2.52434e-11,-0.0972316,0.000116165
0.43715,0.490871,2.09984e-08,0.00060074,2.53008e-11,-0.0972906,0.000116575
0.43716,0.490894,2.10211e-08,0.000600925,2.53584e-11,-0.0973497,0.000116986
0.43717,0.490916,2.10438e-08,0.000601111,2.54163e-11,-0.0974089,0.0001174
0.43718,0.490939,2.10667e-08,0.000601296,2.54744e-11,-0.0974681,0.000117814
0.43719,0.490961,2.10896e-08,0.000601482,2.55327e-11,-0.0975273,0.00011823
0.4372,0.490984,2.11125e-08,0.000601668,2.55913e-11,-0.0975866,0.000118648
0.43721,0.491007,2.11356e-08,0.000601855,2.56501e-11,-0.0976459,0.000119066
0.43722,0.491029,2.11587e-08,0.000602041,2.57092e-11,-0.0977053,0.000119487
0.43723,0.491052,2.11819e-08,0.000602227,2.57685e-11,-0.0977648,0.000119909
0.43724,0.491074,2.12052e-08,0.000602414,2.58281e-11,-0.0978243,0.000120332
0.43725,0.490957,2.24946e-08,0.000606492,3.26988e-11,-0.130095,0.00047433
0.43726,0.49098,2.25263e-08,0.000606678,3.28225e-11,-0.130309,0.000476608
0.43727,0.491002,2.25582e-08,0.000606864,3.29468e-11,-0.130523,0.000478895
0.43728,0.491025,2.25902e-08,0.00060705,3.30719e-11,-0.130737,0.000481192
0.43729,0.491048,2.26224e-08,0.000607236,3.31976e-11,-0.130953,0.0004835
0.4373,0.491071,2.26547e-08,0.000607423,3.3324e-11,-0.131168,0.000485817
0.43731,0.491093,2.26872e-08,0.00060761,3.34511e-11,-0.131384,0.000488144
0.43732,0.491116,2.27199e-08,0.000607797,3.35789e-11,-0.131601,0.000490481
0.43733,0.491139,2.27527e-08,0.000607984,3.37073e-11,-0.131818,0.000492828
0.43734,0.491162,2.27856e-08,0.000608172,3.38365e-11,-0.132036,0.000495185
0.43735,0.491185,2.28187e-08,0.000608359,3.39664e-11,-0.132254,0.000497551
0.43736,0.491207,2.2852e-08,0.000608547,3.4097e-11,-0.132473,0.000499928
0.43737,0.49123,2.28855e-08,0.000608735,3.42283e-11,-0.132693,0.000502316
0.43738,0.491253,2.29191e-08,0.000608924,3.43603e-11,-0.132913,0.000504713
0.43739,0.491276,2.29528e-08,0.000609112,3.4493e-11,-0.133133,0.00050712
0.4374,0.491299,2.29867e-08,0.000609301,3.46264e-11,-0.133354,0.000509537
0.43741,0.491322,2.30208e-08,0.00060949,3.47606e-11,-0.133576,0.000511965
0.43742,0.491344,2.30551e-08,0.000609679,3.48955e-11,-0.133798,0.000514402
0.43743,0.491367,2.30895e-08,0.000609868,3.50312e-11,-0.13402,0.00051685
0.43744,0.49139,2.31241e-08,0.000610058,3.51676e-11,-0.134244,0.000519308
0.43745,0.491413,2.31588e-08,0.000610248,3.53047e-11,-0.134467,0.000521776
0.43746,0.491436,2.31937e-08,0.000610438,3.54426e-11,-0.134692,0.000524255
0.43747,0.491459,2.32288e-08,0.000610628,3.55812e-11,-0.134917,0.000526744
